,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
32,DMKN,TCL1A,RPL39,TNFRSF25,MROH2A,RNF175,SMIM36,BCL6B,NPFFR1,RGS2,CLCN1,CCL16,RPL19,FCMR,CFAP54,CCBE1,COL6A5,ESAM,CD68,EMILIN2,TCF7,LPAR5,ADGRF1,SH2D2A
33,PDLIM4,COBL,SOX5,CD5,EN1,CCL3,TREML1,PSORS1C1,SLC16A10,IFITM2,WDFY4,SYN3,RPS6,JAKMIP1,BMP6,MXRA5,IGF2BP1,ARHGEF15,ITGAD,RAB39A,TRAF3IP3,SNX22,TRIM29,CXCR6
34,CITED4,MAP1A,KCNMA1,UBASH3A,TTPA,C3AR1,INHBB,CARD10,CAPG,BTNL8,HLA-DRA,MEOX2,RPL27A,CD27,KCNN3,FBLN1,LRP2,SPP1,TDRD6,MYO7B,APBA2,WNT16,ALDH3B2,IFNG
35,BNC1,GAPT,ROBO2,ASB2,DES,UPB1,CHRNA1,UBE2U,KCNE1,STEAP4,CADM1,NR5A2,CFAP299,PHF21B,ZBP1,ITGA11,IL5RA,ADGRG1,MMP3,DOK2,RETREG1,IL9R,SERPINB4,LGR6
36,CHRNA3,KCTD19,FAM78B,CASR,MAP1LC3C,ADGRE1,B4GALNT4,FAM162B,OLFML2B,MGAM,IDO1,BMPER,RPS27A,F5,LAX1,BGN,FAXC,LHX6,CEBPA,CALHM6,RCAN3,IKZF3,KRT15,AREG
37,PGR,FAM221B,CD80,TMIGD2,DLX5,CCR1,ADRB1,HOXD9,IL22RA2,LILRB3,WNT5B,NR2F1,RPS23,SLC9A2,TPTE2,TWIST2,ARL14EPL,FAM167B,GPR85,ALDH3B1,RNF125,CPED1,KRT14,TTC16
38,SLC22A8,CLIC3,BCAS1,GLB1L3,CCL19,CCL4L2,WFDC13,CDSN,CLEC6A,ALPL,HLA-DPB1,LRRTM4,RPL23A,PHLDA1,CPNE5,SRPX2,TMEM92,TCTEX1D1,RAB42,CD1D,CD69,C12orf42,FOXN1,S1PR5
39,FOXG1,DRD4,EBI3,CPA5,SLC22A3,FCGR1A,CKMT1B,LRRN4CL,CYP27B1,KY,CSF2RA,GATA6,RPS3,S1PR4,FBXO16,DPT,MAGEA4,ERICH4,ATP6V0D2,SUCNR1,RNF144A,HLA-DMB,CYP2C9,CD247
40,PHLDA2,TDRD1,GRID1,TSHZ2,PCDH11X,CCL3L1,GABRG3,TMEM235,VSIG4,NLRP12,GPC5,KRTAP10-4,FAU,KL,P2RX1,COMP,CSF2,CYTL1,CLEC4F,SIRPD,LY9,CD72,KRT6A,CD96
41,MYH1,SIGLEC6,CNBD1,CEP128,EBF3,SECTM1,EXOC3L4,SEMA3A,TMEM150B,PADI4,HLA-DPA1,LIMS2,SSR4,NRIP3,SLC17A9,WT1,OR4F15,GPR17,HAMP,VSTM1,LBH,CNKSR2,SULT1E1,PYHIN1
42,WFDC8,NAT8L,SORD,ANK3,DTNA,CCRL2,NKAIN2,PRKG1,GPR84,FCAR,HLA-DQB1,BARX2,RPL35,AQP3,PAIP2B,PODN,MAGEB1,SPAAR,SLC4A1,ASCL2,RASGRP2,P2RY10,RIPK4,A2M
43,RGS11,LRRC26,UTS2B,INPP4B,SLIT3,TREML4,ITIH5,EFNA5,CES1,IL18RAP,ROR1,TNFAIP8L3,RPS18,VSTM2B,BHLHE41,MFAP2,BMP10,VSIG2,KCNJ5,ASGR2,TBC1D10C,LYL1,C2CD4A,NCAM1
44,CTSE,BCL11A,IL27,FAAH2,VEGFC,SLPI,SORCS1,FLRT2,CCL8,RASGRP4,ID2,CXCL3,RPL23,SLC22A9,HID1,SLC1A7,TENM2,PLCB1,TMEM86A,FYB1,IL32,TNR,PDZK1IP1,ZAP70
45,PTGDS,PTPRS,MMP20,GPRIN3,MROH9,GBP6,ANKRD29,STOX2,SULT1C3,DGAT2,ENO4,LYPD6,TNFRSF13C,NMU,AMPD1,RGS4,SYT1,CALCRL,SIGLEC12,SLAMF7,RNF157,ICOSLG,SERPINB11,LAG3
46,VPS37D,PLAC8,DRD3,CMTM8,FIGN,SLC18A1,NOVA1,LAMA4,KYNU,FRAT2,FBXL14,PEAR1,STMN1,SPX,PYCR1,KIF26B,CACNA1E,THSD7A,CBLN2,GCH1,TSPAN32,BTLA,RNF183,SLC9A3R1
47,SLCO1B1,BLNK,HCG22,MAF,TAGLN,LIPM,CLDN16,SERPINE1,SLC39A8,C5AR2,CD226,NOS2,RPL7A,GTSF1L,CXXC4,VCAN,OPCML,FLT1,TFEC,MYOF,ZMAT4,,KRT80,GPR171
